compound	modifier1	head
10000-Meter-Lauf	10000 Meter	Lauf
100-Meter-Hürdenlauf	100 Meter	Hürdenlauf
100-Meter-Lauf	100 Meter	Lauf
10-Meter-Turm	10 Meter	Turm
1500-Meter-Lauf	1500 Meter	Lauf
15-Minuten-Takt	15 Minute	Takt
1-Zimmer-Wohnung	1 Zimmer	Wohnung
200-Meter-Lauf	200 Meter	Lauf
20-Minuten-Takt	20 Minute	Takt
24-Stunden-Betrieb	24 Stunde	Betrieb
2-Zimmer-Wohnung	2 Zimmer	Wohnung
3000-Meter-Hindernislauf	3000 Meter	Hindernislauf
30-Minuten-Takt	30 Minute	Takt
35-mm-Film	35 mm	Film
3-D-Brille	3-D	Brille
3D-Computergrafik	3D	Computergrafik
3D-Film	3D	Film
3D-Grafik	3D	Grafik
3-D-Modell	3-D	Modell
3-Liter-Auto	3 Liter	Auto
3-Wege-Kat	3 Weg	Kat
3-Wege-Katalysator	3 Weg	Katalysator
3-Zimmer-Wohnung	3 Zimmer	Wohnung
400-Meter-Hürdenlauf	400 Meter	Hürdenlauf
400-Meter-Lauf	400 Meter	Lauf
4x100-Meter-Staffel	4 x 100 Meter	Staffel
4-Zimmer-Wohnung	4 Zimmer	Wohnung
4-Zylinder-Reihenmotor	4 Zylinder	Reihenmotor
5-Minuten-Takt	5 Minute	Takt
5-Prozent-Hürde	5 Prozent	Hürde
5-Prozent-Klausel	5 Prozent	Klausel
68er-Bewegung	68er	Bewegung
7-Tage-Frist	7 Tage	Frist
800-Meter-Lauf	800 Meter	Lauf
8-Bit-Prozessor	8 Bit	Prozessor
Aalfisch	Aal	Fisch
Aalmutter	Aal	Mutter
Aalstrich	Aal	Strich
Aalsuppe	Aal	Suppe
Aaretal	Aare	Tal
Aasfresser	Aas	Fresser
Aaskäfer	Aas	Käfer
Aaskrähe	Aas	Krähe
Abbauarbeit	Abbau|abbauen	Arbeit
Abbaufeld	abbauen|Abbau	Feld
Abbaufläche	Abbau|abbauen	Fläche
Abbaugebiet	Abbau|abbauen	Gebiet
Abbaugelände	Abbau|abbauen	Gelände
Abbaugrenze	Abbau|abbauen	Grenze
Abbauprodukt	Abbau|abbauen	Produkt
Abbauprozess	Abbau|abbauen	Prozess
Abbaurecht	abbauen|Abbau	Recht
Abbaustelle	abbauen|Abbau	Stelle
Abbautiefe	Abbau|abbauen	Tiefe
Abbildungsfehler	Abbildung	Fehler
Abbildungsmaßstab	Abbildung	Maßstab
Abblendlicht	abblenden	Licht
Abbrucharbeit	Abbruch	Arbeit
Abbruchkante	Abbruch	Kante
Abbruchmaterial	Abbruch	Material
ABC-Abwehr	ABC	Abwehr
ABC-Alarm	ABC	Alarm
Abc-Code	Abc	Code
ABC-Kampfmittel	ABC	Kampfmittel
Abc-Schütze	Abc	Schütze
ABC-Staaten	ABC	Staaten
ABC-Waffen	ABC	Waffe
Abdeckplatte	abdecken	Platte
Abdeckstift	abdecken	Stift
Abdichtungsarbeit	Abdichtung	Arbeit
Abdichtungsmaterial	Abdichtung	Material
Abdichtungsuntergrund	Abdichtung	Untergrund
Abdichtungswand	Abdichtung	Wand
Abdreheisen	abdrehen	Eisen
Abdrucknahme	Abdruck	Nahme
Abelmoschus	Abel	Moschus
Abendandacht	Abend	Andacht
Abendanzug	Abend	Anzug
Abendausgabe	Abend	Ausgabe
Abendblatt	Abend	Blatt
Abendbrot	Abend	Brot
Abenddämmerung	Abend	Dämmerung
Abendessen	Abend	Essen
Abendgarderobe	Abend	Garderobe
Abendgebet	Abend	Gebet
Abendgesellschaft	Abend	Gesellschaft
Abendglocke	Abend	Glocke
Abendgrauen	Abend	Grauen
Abendgymnasium	Abend	Gymnasium
Abendhimmel	Abend	Himmel
Abendjournal	Abend	Journal
Abendkasse	Abend	Kasse
Abendkleid	Abend	Kleid
Abendkostüm	Abend	Kostüm
Abendkurs	Abend	Kurs
Abendland	Abend	Land
Abendlicht	Abend	Licht
Abendlied	Abend	Lied
Abendmahl	Abend	Mahl
Abendmahlsfeier	Abendmahl	Feier
Abendmahlsgemeinschaft	Abendmahl	Gemeinschaft
Abendmahlsgottesdienst	Abendmahl	Gottesdienst
Abendmahlskanne	Abendmahl	Kanne
Abendmahlskelch	Abendmahl	Kelch
Abendmusik	Abend	Musik
Abendnachrichten	Abend	Nachrichten
Abendöffnung	Abend	Öffnung
Abendpfauenauge	Abend	Pfauenauge
Abendprogramm	Abend	Programm
Abendrealschule	Abend	Realschule
Abendrobe	Abend	Robe
Abendrot	Abend	Rot
Abendröte	Abend	Röte
Abendschule	Abend	Schule
Abendsegler	Abend	Segler
Abendsonne	Abend	Sonne
Abendstern	Abend	Stern
